IRIS;LIBIRIS;COM;LIBCOM;DEC_PIMP14;DEC_TP6014;DEC_Q114;DEC_MED14;DEC_Q314;DEC_EQ14;DEC_D114;DEC_D214;DEC_D314;DEC_D414;DEC_D614;DEC_D714;DEC_D814;DEC_D914;DEC_RD14;DEC_S80S2014;DEC_GI14;DEC_PTSA14;DEC_PCHO14;DEC_PBEN14;DEC_PPEN14;DEC_PAUT14;note
31850106;Ville Gozet;3185;Montluçon;34,7;46,1;5874;13660;19732;1;78;4150;7360;10376;15848;18272;21560;25396;325,6;30,1;0,4;46,6;4,8;2,8;42,2;3,6;0
31850108;Montgacher-Cordeliers;3185;Montluçon;55,9;26,1;11966;18354;25500;0,7;5528;10752;13560;16252;20804;23564;27526;33886;6,1;7,8;0,3;55,6;3,7;3;34,7;3;0
31850110;Rimard-Marignon;3185;Montluçon;59,9;17,4;14508;21196;29454;0,7;7894;13106;15964;18566;23998;27558;32262;39810;5;6,4;0,3;48,5;2,4;6,4;38,3;4,4;0
31850111;Saint-Jean;3185;Montluçon;64,3;16,5;14812;21400;30372;0,7;8138;13240;16464;18724;24006;27606;32650;40718;5;6;0,3;50,4;2,3;6,3;36,9;4,1;0
31850112;Les Iles-Buffon;3185;Montluçon;52,5;26,7;11478;18406;24944;0,7;5946;9996;13144;15998;20664;22970;26966;32326;5,4;7,2;0,3;48,2;3;3,4;42,1;3,3;0
31850113;Fontbouillant;3185;Montluçon;38;41,1;7866;14192;20654;0,9;2060;5812;9388;12012;16674;19050;22406;26868;13;13,2;0,4;50;4,3;1,1;42,3;2,3;0
31850114;La Caserne-Les Guineberts;3185;Montluçon;50,5;25,5;11832;18310;24396;0,7;4816;9966;13706;16022;20484;22878;25758;30966;6,4;7,6;0,3;49,3;3;2,2;42,4;3,1;0
31850115;Bien Assis;3185;Montluçon;36,7;47,7;3946;12966;20504;1,3;0;2144;5576;9036;16336;18894;22160;27694;;99,4;0,5;40,6;4,5;1,7;50,5;2,7;0
31850116;Marais-Villars;3185;Montluçon;49,9;28,1;11274;17306;23654;0,7;5734;9350;12770;15542;19880;22402;25196;30794;5,4;7,4;0,3;39,8;4;2,3;50;3,9;0
31850117;Viviani-Dunlop;3185;Montluçon;32,5;41,2;7510;14134;19750;0,9;2048;5874;9122;11938;16330;18646;21134;25846;12,6;12,2;0,4;43,5;4,5;1;48,8;2,2;0
31900101;Centre Historique;3190;Moulins;51,8;30,8;10360;18156;28560;1;2022;8174;11820;15272;21714;25852;31554;43792;21,7;17,4;0,4;54,3;2,7;7,4;29,4;6,2;0
31900102;Centre Moderne;3190;Moulins;54,4;23,7;12648;18914;27736;0,8;6310;10892;13866;16606;22036;25946;30166;38810;6,2;8,5;0,4;48,8;2,5;6,7;35,3;6,7;0
